class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29063,10533,267,"USHJA Hunter 2'6""",,2031,Menlo Park,Jake Evans,Margot Hirsch,,
29063,10533,267,"USHJA Hunter 2'6""",,2099,Loire,Isaac Leffkowitz,Kelsie Brittan,,
29063,10533,267,"USHJA Hunter 2'6""",,2567,Voyou De Tiji Z,Jamie Ricciardi,Jamie Ricciardi,,
29063,10533,267,"USHJA Hunter 2'6""",,2610,Starridor,Charlotte H. Wiese,Stefano Baruzzo LLC,,
29063,10533,267,"USHJA Hunter 2'6""",,2661,Ustina,Sage Bain,Isaac Leffkowitz,,
29063,10533,267,"USHJA Hunter 2'6""",,2668,Curtis 89,Josephine Demmo,Josephine Demmo,,
29063,10533,267,"USHJA Hunter 2'6""",,2725,Coeur D'honneur,Jennifer Phethean,Jennifer Phethean,,
29063,10533,267,"USHJA Hunter 2'6""",,2729,Clearville,Emily Kowit,T.e.k. Show Horses LLC,,
29063,10533,267,"USHJA Hunter 2'6""",,2974,St. Nick,Kalli Core,Vivian Downes,,
29063,10533,267,"USHJA Hunter 2'6""",,3034,Napoleon,Robert P. Stucky,Sharrone Peters,,
29064,10533,268,"USHJA Hunter 2'6""",1,1222,Ladies Night,Megan Wexler,Catherine Merrill,,
29064,10533,268,"USHJA Hunter 2'6""",2,1493,Lyon,Katherine Addington,Elevated Performance Horses LLC,,
29064,10533,268,"USHJA Hunter 2'6""",3,2021,Crescendo 55,Andrea Clark,Andrea Clark,,
29064,10533,268,"USHJA Hunter 2'6""",4,1983,Koh I Knoor,Natalie Johnson Russell,Issabella Malherbe,,
29064,10533,268,"USHJA Hunter 2'6""",5,1838,Pursuit Of Honor,Josh Dolan,Shannon Mcmasters,,
29064,10533,268,"USHJA Hunter 2'6""",6,1698,Orchard Hills Best Dressed,Ryan Haselden,Stephanie I Sakata,,
29064,10533,268,"USHJA Hunter 2'6""",7,2974,St. Nick,Kalli Core,Vivian Downes,,
29064,10533,268,"USHJA Hunter 2'6""",8,2668,Curtis 89,Josephine Demmo,Josephine Demmo,,
29064,10533,268,"USHJA Hunter 2'6""",,1092,Over Ruled,Isabella Keyman,Jennie Keyman,,
29064,10533,268,"USHJA Hunter 2'6""",,1915,Fbf Sundrop,Stacy A. Ryback,Stacy A. Ryback,,
29064,10533,268,"USHJA Hunter 2'6""",,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
29064,10533,268,"USHJA Hunter 2'6""",,2031,Menlo Park,Jake Evans,Margot Hirsch,,
29064,10533,268,"USHJA Hunter 2'6""",,2099,Loire,Isaac Leffkowitz,Kelsie Brittan,,
29064,10533,268,"USHJA Hunter 2'6""",,2610,Starridor,Charlotte H. Wiese,Stefano Baruzzo LLC,,
